A Aegean,,
A Amara,"A2/ E3, G3, A3, B3, C4, D4, E4, G4",9
A Amara 11,"A2/ (C3, D3), E3, G3, A3, B3, C4, D4, E4, G4",11
A Amara 14,"A2/ (C3, D3), E3, (F3), G3, A3, B3, C4, D4, E4, (F4), G4, (A4)",14
A Amara 17,"A2/ (C3, D3), E3, (F3), G3, A3, B3, C4, D4, E4, (F4), G4, (A4, B4, C5, D5)",17
A Amara custom,,
A Hijaz,"A2 / E3, G3, A3, Bb3, C#4, D4, E4, G4",9
A Hijaz 13,"A2 / (D3), E3, (F3), G3, A3, Bb3, C#4, D4, E4, (F4), G4, (A4)",13
A Hijaz 15,"A2 / (D3), E3, (F3), G3, A3, Bb3, C#4, D4, E4, (F4), G4, (A4, D5, E5)",15
A Hijaz custom,,
A Harmonic minor,,
A La Sirena,,
A Pygmy,,
B Amara,"B2/ F#3, A3, B3, C#4, D4, E4, F#4, A4",9
B Amara 11,"B2/ (D3, E3) F#3, A3, B3, C#4, D4, E4, F#4, A4",11
B Amara 12,"B2/ (D3, E3) F#3, A3, B3, C#4, D4, E4, F#4, A4, (B4)",12
B Amara 14,"B2/ (D3, E3) F#3, (G3), A3, B3, C#4, D4, E4, F#4, (G4), A4, (B4)",14
B Amara 17,"B2/ (D3, E3) F#3, (G3), A3, B3, C#4, D4, E4, F#4, (G4), A4, (B4, C#5, D5, E5)",17
B Amara custom,,
B Hijaz,"B2 / F#3, A3, B3, C4, D#4, E4, F#4, A4",9
B Hijaz 12,"B2 / (D#3, E3), F#3, A3, B3, C4, D#4, E4, F#4, A4, (B4)",12
B Hijaz custom,,
B Kurd,"B2 / F#3, G3, A3, B3, C#4, D4, E4, F#4",9
B Kurd 11,"B2 / (D3, E3), F#3, G3, A3, B3, C#4, D4, E4, F#4",11
B Kurd 14,"B2 / (D3, E3), F#3, G3, A3, B3, C#4, D4, E4, F#4, (G4, A4, B4)",14
B Kurd 17,"B2 / (D3, E3), F#3, G3, A3, B3, C#4, D4, E4, F#4, (G4, A4, B4, C#5, D5, E5)",17
B Kurd custom,,
B Pygmy,,
Bb Amara,,
Bb Kronos,,
C Aegean,"C3 / E3, G3, B3, C4, E4, F#4, G4, B4, E5",10
C Aegean 13,"C3 / E3, (F#3), G3, (A3), B3, C4, (D4), E4, F#4, G4, B4, E5",13
C Aegean 15,"C3 / E3, (F#3), G3, (A3), B3, C4, (D4), E4, F#4, G4, (A4), B4, (C5), E5",15
C Aegean 17,"C3 / E3, (F#3), G3, (A3), B3, C4, (D4), E4, F#4, G4, (A4), B4, (C5, D5), E5, (G5)",17
C Aegean cyclops 19,"C3 / (D3), E3, (F#3), G3, (A3), B3, C4, (D4), E4, F#4, G4, (A4), B4, (C5, D5), E5, F#5, (G5)",19
C Aegean custom,,
C Asha,"C3 / F3, G3, A3, B3, C4, D4, E4, G4",9
C Asha 12,"C3 / (D3, E3), F3, G3, A3, B3, C4, D4, E4, (F4), G4",12
C Ashakiran 17,"C3/ (D3, E3), F3, G3, A3, B3, C4, D4, E4, (F4), G4, (A4, B4, C5, D5, E5)",17
C Asha custom,,
C harmonic cyclops ,"C3 / G3, Ab3, B3, C4, D4, Eb4, F4, G4, C5",10
C harmonic cyclops 18,"C3 / (Eb3, F3), G3, Ab3, B3, C4, D4, Eb4, F4, G4, (Ab4, B4) C5, (D5, Eb5, F5, G5)",18
C harmonic cyclops 19 (+simple),"C3 / (Eb3, F3), G3, Ab3, (Bb3), B3, C4, D4, Eb4, F4, G4, (Ab4, B4) C5, (D5, Eb5, F5, G5)",19
C harmonic cyclops14,"C3 / (Eb3, F3), G3, Ab3, B3, C4, D4, Eb4, F4, G4, (Ab4, B4), C5",14
C harmonic custom,,
C Saldin,,
C Minor,,
C# Aegean,,
C# Amara,,
